time_s,contact_count,normal_force_N,arm_tracking_error_rad
1.366,0,0,0.031979025126760145
1.368,0,0,0.03192196941847576
1.37,0,0,0.031863438740970786
1.372,0,0,0.031803432614813075
1.374,0,0,0.0317419505916809
1.3760000000000001,0,0,0.03167899225426914
1.3780000000000001,0,0,0.03161455721620592
1.3800000000000001,0,0,0.03154864512199633
1.3820000000000001,0,0,0.03148125564698286
1.3840000000000001,0,0,0.03141238849732523
1.3860000000000001,0,0,0.03134204341000338
1.3880000000000001,0,0,0.03127022015284056
1.3900000000000001,0,0,0.031196918524546438
1.3920000000000001,0,0,0.031122138354785438
1.3940000000000001,0,0,0.031045879504264982
1.3960000000000001,0,0,0.030968141864847417
1.3980000000000001,0,0,0.03088892535968723
1.4000000000000001,0,0,0.03080822994338971
1.4020000000000001,0,0,0.030726055602197256
1.4040000000000001,0,0,0.030642402354200012
1.4060000000000001,0,0,0.030557270249573828
1.408,0,0,0.030470659370843044
1.41,0,0,0.030382569833175672
1.412,0,0,0.030293001784703642
1.414,0,0,0.030201955406874204
1.416,0,0,0.030109430914833677
1.418,0,0,0.030015428557841794
1.42,0,0,0.029919948619718875
1.422,0,0,0.029822991419329682
1.424,0,0,0.029724557311099884
1.426,0,0,0.029624646685574022
1.428,0,0,0.029523259970006488
1.43,0,0,0.0294203976289967
1.432,0,0,0.029316060165165886
1.434,0,0,0.02921024811987503
1.436,0,0,0.02910296207399076
1.438,0,0,0.02899420264869698
1.44,0,0,0.028883970506356056
1.442,0,0,0.028772266351422424
1.444,0,0,0.028659090931410777
1.446,0,0,0.028544445037917855
1.448,0,0,0.02842832950770698
1.45,0,0,0.028310745223852418
1.452,0,0,0.028191693116949235
1.454,0,0,0.02807117416639101
1.456,0,0,0.02794918940172063
1.458,0,0,0.027825739904052637
1.46,0,0,0.02770082680757959
1.462,0,0,0.027574451301156006
1.464,0,0,0.02744661462997574
1.466,0,0,0.02731731809733355
1.468,0,0,0.027186563066492517
1.47,0,0,0.027054350962645465
1.472,0,0,0.02692068327498855
1.474,0,0,0.02678556155890827
1.476,0,0,0.026648987438286233
1.478,0,0,0.026510962607933418
1.48,0,0,0.02637148883615535
1.482,0,0,0.026230567967461347
1.484,0,0,0.02608820192542306
1.486,0,0,0.02594439271568918
1.488,0,0,0.025799142429173267
1.49,0,0,0.025652453245415468
1.492,0,0,0.025504327436132696
1.494,0,0,0.025354767368975115
1.496,0,0,0.025203775511486663
1.498,0,0,0.025051354435300446
1.5,0,0,0.0248975068205674
1.502,0,0,0.024742235460645755
1.504,0,0,0.024585543267057874
1.506,0,0,0.02442743327474071
1.508,0,0,0.024267908647602185
1.51,0,0,0.024106972684407098
1.512,0,0,0.023944628825013945
1.514,0,0,0.023780880656986296
1.516,0,0,0.023615731922601562
1.518,0,0,0.02344918652629073
1.52,0,0,0.023281248542531368
1.522,0,0,0.02311192222423119
1.524,0,0,0.022941212011632434
1.526,0,0,0.022769122541779273
1.528,0,0,0.022595658658581468
1.53,0,0,0.022420825423527833
1.532,0,0,0.022244628127084335
1.534,0,0,0.022067072300838573
1.536,0,0,0.0218881637304409
1.538,0,0,0.0217079084694029
1.54,0,0,0.02152631285381919
1.542,0,0,0.021343383518083278
1.544,0,0,0.021159127411674226
1.546,0,0,0.020973551817098497
1.548,0,0,0.020786664369079822
1.55,0,0,0.02059847307509438
1.552,0,0,0.020408986337358166
1.554,0,0,0.02021821297639452
1.556,0,0,0.020026162256299256
1.558,0,0,0.019832843911853304
1.56,0,0,0.019638268177634737
1.562,0,0,0.01944244581930101
1.564,0,0,0.019245388167227696
1.566,0,0,0.019047107152706116
1.568,0,0,0.018847615346923516
1.57,0,0,0.018646926002977654
1.572,0,0,0.018445053101185886
1.574,0,0,0.018242011397995368
1.576,0,0,0.01803781647881536
1.578,0,0,0.017832484815139833
1.58,0,0,0.01762603382634929
1.582,0,0,0.01741848194663708
1.584,0,0,0.017209848697544432
1.586,0,0,0.01700015476663869
